Speed,Distance
8_5 9_0, 4_5 5_0
10_5 11_0, 3_0 3_5
11_5 12_0, 4_0 4_5
8_5 9_0, 3_0 3_5
7_0 7_5, 3_0 3_5
8_0 8_5, 7_0 7_5
11_0 11_5, 1_0 1_5
11_5 12_0, 6_0 6_5
10_5 11_0, 2_5 3_0
7_5 8_0, 3_0 3_5
8_0 8_5, 3_5 4_0
7_5 8_0, 4_5 5_0
9_0 9_5, 1_5 2_0
10_5 11_0, 5_5 6_0
8_0 8_5, 7_0 7_5
10_0 10_5, 7_0 7_5
9_5 10_0, 2_0 2_5
11_0 11_5, 1_5 2_0
9_0 9_5, 7_5 8_0
8_0 8_5, 3_5 4_0
8_5 9_0, 2_0 2_5
9_5 10_0, 2_5 3_0
9_0 9_5, 4_5 5_0
9_5 10_0, 2_0 2_5
11_0 11_5, 3_0 3_5
9_5 10_0, 2_0 2_5
7_5 8_0, 1_0 1_5
12_0 12_5, 2_5 3_0
7_5 8_0, 8_0 8_5
8_0 8_5, 6_0 6_5
11_5 12_0, 3_5 4_0
8_5 9_0, 6_0 6_5
7_5 8_0, 6_5 7_0
6_0 6_5, 2_5 3_0
9_0 9_5, 4_0 4_5
10_0 10_5, 4_0 4_5
8_5 9_0, 3_5 4_0
9_5 10_0, 3_0 3_5
7_5 8_0, 3_0 3_5
11_0 11_5, 3_0 3_5
12_5 13_0, 2_0 2_5
8_5 9_0, 3_5 4_0
11_0 11_5, 5_0 5_5
10_5 11_0, 2_0 2_5
11_0 11_5, 1_5 2_0
7_5 8_0, 9_5 10_0
8_0 8_5, 11_5 12_0
8_5 9_0, 2_5 3_0
10_5 11_0, 1_0 1_5
9_5 10_0, 4_5 5_0
10_0 10_5, 3_5 4_0
8_5 9_0, 3_0 3_5
9_0 9_5, 4_0 4_5
11_0 11_5, 4_5 5_0
9_0 9_5, 1_5 2_0
9_5 10_0, 3_0 3_5
11_5 12_0, 2_5 3_0
6_5 7_0, 2_0 2_5
11_0 11_5, 3_0 3_5
8_5 9_0, 2_5 3_0
7_5 8_0, 8_5 9_0
8_5 9_0, 9_0 9_5
6_0 6_5, 3_5 4_0
5_5 6_0, 1_0 1_5
11_5 12_0, 2_5 3_0
7_5 8_0, 3_0 3_5
8_5 9_0, 4_0 4_5
10_0 10_5, 3_0 3_5
10_5 11_0, 3_5 4_0
7_5 8_0, 4_0 4_5
10_5 11_0, 9_5 10_0
8_0 8_5, 3_5 4_0
10_0 10_5, 2_5 3_0
10_5 11_0, 1_5 2_0
6_5 7_0, 3_0 3_5
9_0 9_5, 3_0 3_5
10_0 10_5, 3_5 4_0
8_5 9_0, 3_0 3_5
10_0 10_5, 1_0 1_5
9_0 9_5, 3_0 3_5
9_5 10_0, 3_0 3_5
10_5 11_0, 4_5 5_0
8_5 9_0, 0_5 1_0
7_5 8_0, 3_5 4_0
11_0 11_5, 2_0 2_5
9_0 9_5, 3_0 3_5
7_5 8_0, 1_5 2_0
8_5 9_0, 6_0 6_5
7_5 8_0, 4_5 5_0
9_0 9_5, 2_0 2_5
10_0 10_5, 4_5 5_0
9_5 10_0, 5_0 5_5
10_5 11_0, 3_0 3_5
9_0 9_5, 3_5 4_0
12_5 13_0, 3_0 3_5
9_5 10_0, 4_0 4_5
10_0 10_5, 10_0 10_5
8_0 8_5, 4_0 4_5
12_5 13_0, 6_5 7_0
10_5 11_0, 3_5 4_0
12_5 13_0, 1_5 2_0
9_0 9_5, 3_5 4_0
12_0 12_5, 4_0 4_5
8_5 9_0, 6_5 7_0
10_0 10_5, 3_5 4_0
8_5 9_0, 3_0 3_5
11_0 11_5, 2_5 3_0
10_0 10_5, 5_0 5_5
8_0 8_5, 2_0 2_5
8_5 9_0, 7_0 7_5
8_5 9_0, 5_0 5_5
12_5 13_0, 5_0 5_5
12_0 12_5, 4_0 4_5
9_5 10_0, 10_0 10_5
8_0 8_5, 6_0 6_5
9_5 10_0, 5_0 5_5
9_0 9_5, 3_0 3_5
10_5 11_0, 3_0 3_5
10_0 10_5, 3_0 3_5
12_5 13_0, 2_5 3_0
10_0 10_5, 2_5 3_0
10_5 11_0, 2_0 2_5
6_5 7_0, 1_0 1_5
10_5 11_0, 8_0 8_5
12_0 12_5, 4_0 4_5
7_0 7_5, 7_0 7_5
8_5 9_0, 1_5 2_0
9_5 10_0, 3_0 3_5
11_0 11_5, 2_0 2_5
6_0 6_5, 3_0 3_5
9_0 9_5, 6_0 6_5
9_0 9_5, 3_5 4_0
11_0 11_5, 6_0 6_5
12_0 12_5, 2_5 3_0
10_5 11_0, 3_5 4_0
9_5 10_0, 3_0 3_5
11_0 11_5, 4_5 5_0
11_5 12_0, 4_0 4_5
8_0 8_5, 3_5 4_0
9_0 9_5, 6_0 6_5
9_5 10_0, 6_0 6_5
10_0 10_5, 3_0 3_5
8_5 9_0, 4_0 4_5
10_0 10_5, 3_0 3_5
11_0 11_5, 1_5 2_0
9_5 10_0, 2_0 2_5
9_5 10_0, 6_0 6_5
12_5 13_0, 3_0 3_5
9_0 9_5, 6_0 6_5
8_5 9_0, 4_0 4_5
8_5 9_0, 0_5 1_0
8_0 8_5, 1_5 2_0
10_0 10_5, 5_0 5_5
8_5 9_0, 4_5 5_0
8_0 8_5, 7_5 8_0
8_5 9_0, 5_0 5_5
5_5 6_0, 5_5 6_0
8_5 9_0, 5_0 5_5
9_5 10_0, 3_0 3_5
9_5 10_0, 2_0 2_5
12_0 12_5, 3_0 3_5
10_5 11_0, 3_5 4_0
12_5 13_0, 4_0 4_5
11_5 12_0, 2_5 3_0
12_0 12_5, 4_0 4_5
10_0 10_5, 2_5 3_0
7_5 8_0, 4_5 5_0
12_5 13_0, 1_5 2_0
8_0 8_5, 5_5 6_0
7_5 8_0, 3_0 3_5
10_5 11_0, 2_5 3_0
11_5 12_0, 7_5 8_0
9_0 9_5, 3_0 3_5
12_5 13_0, 1_0 1_5
8_5 9_0, 6_0 6_5
10_0 10_5, 4_0 4_5
9_0 9_5, 6_0 6_5
10_0 10_5, 3_0 3_5
8_5 9_0, 0_5 1_0
9_0 9_5, 2_5 3_0
7_5 8_0, 2_5 3_0
8_5 9_0, 3_0 3_5
4_5 5_0, 4_0 4_5
9_5 10_0, 1_5 2_0
11_5 12_0, 2_5 3_0
10_0 10_5, 8_0 8_5
8_5 9_0, 8_5 9_0
8_0 8_5, 3_0 3_5
9_0 9_5, 7_0 7_5
10_5 11_0, 4_0 4_5
8_0 8_5, 4_0 4_5
10_0 10_5, 4_0 4_5
9_0 9_5, 3_0 3_5
9_0 9_5, 3_0 3_5
9_5 10_0, 3_0 3_5
7_0 7_5, 2_0 2_5
8_0 8_5, 3_0 3_5
